intensity,soundfile,time_point,trial_number,acc,trial_type,response,subject,responsd_dur
68.3401145935059,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,3,100,1,TwoAFCProc,2,S1,0.658503401360544
67.9405975341797,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,4,100,1,TwoAFCProc,2,S1,0.658503401360544
67.4085515340169,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,5,100,1,TwoAFCProc,2,S1,0.658503401360544
65.5323611668178,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,6,100,1,TwoAFCProc,2,S1,0.658503401360544
68.1169073922294,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,7,100,1,TwoAFCProc,2,S1,0.658503401360544
69.144962310791,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,8,100,1,TwoAFCProc,2,S1,0.658503401360544
56.8157125200544,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,9,100,1,TwoAFCProc,2,S1,0.658503401360544
46.0286858876546,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,10,100,1,TwoAFCProc,2,S1,0.658503401360544
51.439567565918,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,11,100,1,TwoAFCProc,2,S1,0.658503401360544
55.8193844386509,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,12,100,1,TwoAFCProc,2,S1,0.658503401360544
69.5405629475911,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,13,100,1,TwoAFCProc,2,S1,0.658503401360544
68.4064450945173,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,14,100,1,TwoAFCProc,2,S1,0.658503401360544
68.1543261210124,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,15,100,1,TwoAFCProc,2,S1,0.658503401360544
66.7970668247768,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,16,100,1,TwoAFCProc,2,S1,0.658503401360544
64.3117746625628,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,17,100,1,TwoAFCProc,2,S1,0.658503401360544
61.5424016316732,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,18,100,1,TwoAFCProc,2,S1,0.658503401360544
57.8462649754116,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,19,100,1,TwoAFCProc,2,S1,0.658503401360544
50.1832046508789,p_s_Acoustic Content Analysis CSUN-1_t_100.wav,20,100,1,TwoAFCProc,2,S1,0.658503401360544
42.6645447867257,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,1,11,1,TwoAFCProc,1,S1,0.653514739229025
60.6122044154576,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,2,11,1,TwoAFCProc,1,S1,0.653514739229025
65.6380844116211,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,3,11,1,TwoAFCProc,1,S1,0.653514739229025
66.9622443062919,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,4,11,1,TwoAFCProc,1,S1,0.653514739229025
65.8360557556152,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,5,11,1,TwoAFCProc,1,S1,0.653514739229025
65.9230248587472,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,6,11,1,TwoAFCProc,1,S1,0.653514739229025
61.4656270345052,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,7,11,1,TwoAFCProc,1,S1,0.653514739229025
65.4635287693569,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,8,11,1,TwoAFCProc,1,S1,0.653514739229025
67.1909027099609,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,9,11,1,TwoAFCProc,1,S1,0.653514739229025
65.2069827488491,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,10,11,1,TwoAFCProc,1,S1,0.653514739229025
63.8153228759766,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,11,11,1,TwoAFCProc,1,S1,0.653514739229025
62.8430029551188,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,12,11,1,TwoAFCProc,1,S1,0.653514739229025
61.5154440743583,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,13,11,1,TwoAFCProc,1,S1,0.653514739229025
62.0236663818359,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,14,11,1,TwoAFCProc,1,S1,0.653514739229025
60.7579923357282,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,15,11,1,TwoAFCProc,1,S1,0.653514739229025
59.067756652832,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,16,11,1,TwoAFCProc,1,S1,0.653514739229025
58.1904645647321,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,17,11,1,TwoAFCProc,1,S1,0.653514739229025
58.8898722330729,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,18,11,1,TwoAFCProc,1,S1,0.653514739229025
59.1788591657366,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,19,11,1,TwoAFCProc,1,S1,0.653514739229025
56.7182388305664,p_s_Acoustic Content Analysis CSUN-1_t_11.wav,20,11,1,TwoAFCProc,1,S1,0.653514739229025
59.7486752101353,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,1,12,1,FourAFCProc,2,S1,0.633560090702948
62.1000270843506,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,2,12,1,FourAFCProc,2,S1,0.633560090702948
62.2903600420271,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,3,12,1,FourAFCProc,2,S1,0.633560090702948
62.0469964345296,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,4,12,1,FourAFCProc,2,S1,0.633560090702948
63.0513922373454,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,5,12,1,FourAFCProc,2,S1,0.633560090702948
61.7919976370675,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,6,12,1,FourAFCProc,2,S1,0.633560090702948
64.1078211466471,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,7,12,1,FourAFCProc,2,S1,0.633560090702948
64.7149289449056,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,8,12,1,FourAFCProc,2,S1,0.633560090702948
62.646000453404,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,9,12,1,FourAFCProc,2,S1,0.633560090702948
45.3832410176595,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,10,12,1,FourAFCProc,2,S1,0.633560090702948
43.7437992095947,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,11,12,1,FourAFCProc,2,S1,0.633560090702948
50.4198717389788,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,12,12,1,FourAFCProc,2,S1,0.633560090702948
46.7763353983561,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,13,12,1,FourAFCProc,2,S1,0.633560090702948
60.2768834431966,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,14,12,1,FourAFCProc,2,S1,0.633560090702948
60.9794649396624,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,15,12,1,FourAFCProc,2,S1,0.633560090702948
60.5207354227702,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,16,12,1,FourAFCProc,2,S1,0.633560090702948
60.9566160837809,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,17,12,1,FourAFCProc,2,S1,0.633560090702948
59.0775925772531,p_s_Acoustic Content Analysis CSUN-1_t_12.wav,18,12,1,FourAFCProc,2,S1,0.633560090702948
