response,onset,offset,subject,trial
number two,1.62117369968821,2.52961119968821,S2,35
number two,1.01919012188209,1.56407337726757,S2,36
number one,1.01050517290249,1.69793820861678,S2,37
number two,2.21880428004535,3.03054535147392,S2,38
number two,7.71979535147392,8.51292035147392,S2,4
number two,2.38902336663832,3.2236299957483,S2,42
number two,1.15229340277778,2.02030892148526,S2,43
number two,1.0004880952381,1.63981597222222,S2,44
number four,8.09659126984127,9.33546952947846,S2,45
number one,1.59767035147392,2.2995747590703,S2,46
number three,2.79918374433107,3.59730874433107,S2,47
number two,2.53732596371882,4.6767193877551,S2,48
number four,2.13307452876984,2.88771171697846,S2,49
number four,4.02906264172336,4.78166822562358,S2,5
number two,3.00858724844104,3.88942811082766,S2,50
number four,3.45070829790249,4.20334222647392,S2,51
number two,1.07724624433107,1.71462347647392,S2,52
number two,1.20932348356009,1.87680753968254,S2,53
number one,1.15490485048186,1.88275747590703,S2,55
number one,3.24784901147959,4.02487308673469,S2,56
number one,1.67857660147392,2.33170160147392,S2,57
number three,1.65185916241497,2.52744837726757,S2,58
number four,3.36099959254535,4.12081127763605,S2,59
number one,2.46397758999433,3.25647041524943,S2,6
number one,2.05747057468821,2.85863128897392,S2,60
number three,1.93330254393424,2.66591636550454,S2,61
number two,0.924087762188209,2.27553307468821,S2,63
number four,2.28530116213152,3.06380837230726,S2,64
number two,1.14120160147392,1.86788128897392,S2,65
number two,2.77188931405896,3.56938718820862,S2,66
number one,1.51411678004535,2.15617035147392,S2,67
number one,1.40901298540249,2.24584334254535,S2,68
number two,1.79352003613946,2.66543640164399,S2,7
number two,1.25398242630385,1.98413407029478,S2,70
number two,1.21026077097506,2.1109268707483,S2,71
number one,3.2035058106576,4.06863787910998,S2,72
number one,2.60137207695578,5.42706058673469,S2,73
number two,1.51870941397392,2.23017146754535,S2,74
number one,3.37676633361678,4.10833441397392,S2,75
number three,3.09157883361678,3.80193597647392,S2,77
number three,2.17303307468821,2.91929981575964,S2,78
number two,1.90638910147392,2.79276186933107,S2,8
number two,2.70951231221655,3.43728929280045,S2,81
number one,1.43164468183107,2.05581878897392,S2,82
number three,2.68489636479592,3.64427933673469,S2,83
number two,2.50705874433107,3.33434669075964,S2,84
number one,3.43374751984127,4.14506058673469,S2,85
number one,2.50765249433107,3.26095606575964,S2,86
number four,2.44685370606576,3.20570742984694,S2,87
number two,2.36106878897392,3.01331767290249,S2,88
number three,2.97559445861678,3.72165472647392,S2,89
number two,3.46641191893424,4.26968661422903,S2,9
number one,2.337116638322,3.04927650226757,S2,90
number two,4.24609210246599,4.91581556476757,S2,91
number one,2.91932619401927,3.70792632157029,S2,92
number one,2.41269033446712,3.37040150226757,S2,93
number one,2.81844414328231,3.55103431476757,S2,94
number three,3.17722503897392,3.97586901218821,S2,95
number two,2.55426714852608,3.2711485260771,S2,96
number two,1.9477065795068,2.69638359197846,S2,97
number one,1.28895975056689,2.07594954648526,S2,98
number three,3.58788017290249,4.32309222647392,S2,99
number four,3.7622302254235,4.82105375483527,S20,1
number one,1.54611679852664,2.28051986095643,S20,10
number one,3.71230034182348,4.76008716739708,S20,100
number four,2.81025371433714,3.80276561066193,S20,11
number four,2.27658843135648,3.23850804257446,S20,12
number two,2.19353730247119,2.9505687897649,S20,13
number two,3.06398622420856,4.15410670613627,S20,14
number one,4.27480272108844,5.81989574625031,S20,15
number one,1.90569181889623,2.74328661585116,S20,16
number two,4.43028692280125,5.82525503052627,S20,17
number one,1.99199837364665,2.85539819140508,S20,18
number one,4.45742714756585,5.47463885152454,S20,19
number one,3.36687171575458,4.36239667272532,S20,2
number two,1.82538690656986,2.66369533837631,S20,20
number one,1.42472790562008,2.40653479705135,S20,21
number one,2.15681208386969,3.10787925772719,S20,22
number two,3.17741783299665,4.03452424182524,S20,23
number two,5.2008933822525,6.54965110220795,S20,24
number one,2.21452141338463,2.97323357294725,S20,25
number one,1.50826481918068,2.28403421127487,S20,26
number two,1.25123284976641,1.99685890741839,S20,27
number two,1.79211964303794,2.65100922296629,S20,28
number two,2.53210375234431,3.51959156674718,S20,29
number two,3.64585197291768,4.42997670714872,S20,3
number one,1.09206114574344,1.91178373357375,S20,30
number two,2.23537348754763,3.20771731664553,S20,31
number one,1.4471377177377,2.69942918854289,S20,32
number one,3.00037986600263,3.79530545069433,S20,33
number three,1.8008747016879,2.60417124922258,S20,34
number one,1.54502986094036,2.44564948228287,S20,35
number two,1.45634503761344,2.21213728222213,S20,36
number one,1.37594896593175,2.1556391552605,S20,37
number two,1.24981552460342,1.96484032970618,S20,38
number one,1.31255322369912,2.12693835124411,S20,39
number three,2.6515298103177,3.45031891632155,S20,4
number two,3.19330675884812,4.21356334340965,S20,40
number one,1.96924328606945,2.90363227057891,S20,41
number two,1.77144517566063,2.57813122357377,S20,42
number two,2.72774647529695,4.05922769429057,S20,43
number two,1.44835880697661,2.52788497889115,S20,44
number four,3.48873543955735,4.49127062230515,S20,45
number three,2.3812587974949,3.15246347213584,S20,46
number one,3.58776631937916,4.48093226045438,S20,47
number two,2.50938438025813,3.25206603123177,S20,48
number three,4.3074658232771,5.24925381558246,S20,49
number one,4.51585217540831,5.33241590933562,S20,5
number two,1.33215350718601,2.216500691843,S20,50
number two,1.88973655325584,2.80410326379548,S20,51
number one,3.03814679928196,3.88145144644203,S20,52
number two,4.69484798256652,5.97109631322408,S20,53
number two,6.58226707871904,7.64480833618588,S20,54
number one,2.19641145454166,2.90562275351908,S20,55
number one,1.52713738346744,2.39121756975883,S20,56
number one,2.29296848377905,3.05614556183919,S20,57
number one,3.00439985150687,4.40892889203874,S20,58
number two,1.7285473418283,2.41890888403554,S20,59
number four,5.09594116200697,6.27145927286577,S20,6
number one,1.15626363637825,1.76086827341378,S20,60
number two,1.30670445849022,2.06209577164199,S20,61
number one,1.38974894054007,2.10237095320056,S20,62
number two,1.1065706282513,1.72893957583033,S20,63
number four,2.33490978399392,3.10447949139495,S20,64
number two,2.01139169884821,2.70258277768939,S20,65
number one,1.88453783441087,2.81340046379998,S20,66
number one,4.19558429636915,5.56447112821032,S20,67
number three,4.32212695519975,5.41861374268583,S20,68
number two,1.13047916033883,1.86753754995974,S20,69
number one,2.04556193561762,2.85508670938255,S20,7
number one,3.43658691428379,4.39048905345271,S20,70
number one,1.2604147972442,1.98551939329949,S20,71
number two,2.08492287517417,2.86889304155397,S20,72
number two,2.0373802147365,2.92944634239238,S20,73
number two,3.67959501230211,4.66297053118436,S20,74
number four,3.56919174416755,4.48242711060328,S20,75
number one,5.31106853665161,6.39091059395646,S20,76
number four,3.89787829670021,4.80271984777847,S20,77
number two,5.17095149706469,6.25686827341378,S20,78
number four,3.69646983612722,4.43863571452677,S20,79
number two,2.22275103133623,3.17842583137673,S20,8
number four,1.34513925088108,2.02333785562418,S20,80
number two,1.94545954606742,2.50295473691485,S20,83
number four,1.07188214402227,1.76809961896405,S20,84
number one,2.53304625946764,3.26838617856781,S20,85
number four,4.3110859508462,5.14415469641672,S20,86
number two,2.99241550435435,3.75345630621727,S20,87
number two,5.80698762396525,6.82958741086796,S20,88
number one,4.39832517103227,5.21309329514939,S20,89
number two,2.49284509948558,3.24727544993901,S20,9
number one,1.55461293272329,2.34398622420856,S20,91
number two,2.51169346774854,3.31151064763255,S20,92
number one,1.81767745170357,2.58642369718972,S20,93
number two,1.55754945190928,2.28352090072977,S20,94
number three,3.55937200904458,4.50206658084921,S20,95
number one,2.46722235882305,3.37377100237685,S20,96
number one,1.94639505280024,2.78645579999068,S20,97
number one,1.96044871281846,2.62044871281846,S20,98
number two,3.46641449190118,4.49471863283466,S20,99
number two,6.17724311893432,7.61478816104755,S21,1
number two,2.98148262999979,4.07247787146987,S21,10
number one,3.15974202050298,4.43354985689055,S21,100
number two,1.67192993181208,3.00803401199837,S21,11
number three,3.7608451187704,5.42263986076358,S21,12
number four,5.98666153047564,7.82103229082798,S21,13
number three,5.12478889708494,6.62133845666781,S21,14
number one,5.03589138788045,6.72213378845514,S21,15
number one,1.85204871346129,3.10179391274582,S21,16
number one,1.14163935775113,2.09474455163592,S21,17
number one,1.65457751293288,2.82955246676984,S21,18
number one,3.07407668609613,4.21677183644542,S21,19
number two,2.6225181671062,3.8896984850165,S21,2
number two,1.68804332656757,2.9554605585206,S21,20
number one,2.84885846386747,4.07906293119658,S21,21
number two,1.53809357960051,2.60092912345661,S21,22
number two,2.22082928593124,3.30565916969197,S21,23
number one,3.88145259067482,5.22137882622929,S21,24
number one,3.15803165603591,4.15142602583202,S21,25
number two,3.0830673217078,4.3663395703663,S21,26
number one,1.85338889290656,2.93313279046558,S21,27
number one,3.82849373002213,5.09034767641997,S21,28
number three,4.0566056398463,5.39694235284475,S21,29
number one,3.4587338742726,4.77185208541248,S21,3
number two,7.23881177852667,8.77991940229907,S21,30
number two,7.01397630216745,8.32527122977705,S21,31
number two,3.16496992371246,4.49332873711734,S21,32
number one,1.13919719212986,2.11776375128365,S21,33
number four,6.53611581821484,8.28398257937713,S21,34
number three,6.65287434813283,8.60564138265748,S21,35
number one,5.33620369915034,6.69038614321231,S21,36
number one,5.90546288876997,7.43217188562172,S21,37
number three,5.96206985284073,7.260686841805,S21,38
number two,2.28778778338645,3.41233977285693,S21,39
number two,1.45076563637503,2.81762544053766,S21,4
number one,4.59024974809201,5.86505538118862,S21,40
number two,1.99741176470588,2.94905950814061,S21,41
number one,4.02115176030251,5.08549113460645,S21,42
number one,5.72066821266659,7.21315378520886,S21,43
number three,6.79601092806601,8.43490937901265,S21,44
number one,1.98784893555816,3.02148667981249,S21,45
number one,5.85246855690067,7.30063297929614,S21,46
number two,3.74581430965961,5.20520481284883,S21,47
number four,3.94648072240945,5.17947695704788,S21,48
number two,1.9350353281875,3.00639707770658,S21,49
number one,4.6428526816349,6.32457790184347,S21,5
number four,3.79388298934031,4.91621953841778,S21,50
number three,7.70729321126041,9.65761975151506,S21,51
number two,2.45317672129093,3.6470294913146,S21,52
number four,3.52569484018507,4.80457506697458,S21,53
number four,3.61939535653619,4.95625877660301,S21,54
number one,1.62934007659289,2.55076561066194,S21,55
number one,0.943557779738401,1.78136798815912,S21,56
number two,2.92657803362309,4.13496133875237,S21,57
number two,2.88888561689736,3.87638403795253,S21,58
number two,2.47388113156909,3.57948607234058,S21,59
number two,1.38535344097478,2.6823302557971,S21,6
number four,3.96600398231582,5.4329434327948,S21,60
number four,4.44886989333886,5.90892861562296,S21,61
number one,6.14641891455377,7.67663639913797,S21,62
number two,2.18951016872613,3.25321777224946,S21,63
number two,2.02772175858295,3.11087097007478,S21,64
number two,2.09584286083911,3.12062366472693,S21,66
number two,3.59892531470419,4.86546913705241,S21,67
number three,6.83762204640892,8.14012936258841,S21,68
number three,2.990674084895,4.20716694710013,S21,69
number two,5.73266497281644,7.49538442204191,S21,7
number one,2.46959521479274,3.73498956530403,S21,70
number two,1.93489601463075,3.16684903680348,S21,71
number two,1.53300313217657,2.65488224526759,S21,72
number two,4.26303026270749,5.66001006667727,S21,73
number four,5.49991182979216,7.33046265253089,S21,74
number one,5.07472685459726,6.74752030932855,S21,75
number two,4.73187295159027,6.14688252168337,S21,76
number two,2.96275597467903,4.32867169036289,S21,77
number two,5.61474981639242,7.08322809927184,S21,78
number three,5.28873966936172,6.78302760140201,S21,79
number four,3.70825720167585,5.08330129160098,S21,8
number one,4.35296870876865,5.83815854373878,S21,80
number two,3.12730366363413,4.14855611642247,S21,81
number two,2.26334988935333,3.45425555282354,S21,82
number two,2.20341155578697,3.35087738549235,S21,83
number two,6.06444659791628,7.62178760660891,S21,84
number two,4.41070951754196,6.02934646629736,S21,85
number four,3.63169058788174,5.00791818735526,S21,86
number four,4.65756872387509,6.1931767020061,S21,87
number two,2.14175769584942,3.40422894941109,S21,88
number two,2.71012736018102,4.02922222704343,S21,89
number two,2.0067343949628,3.16164397325195,S21,9
number one,3.86090314680089,5.27450087504881,S21,90
number two,2.8780097484777,4.02709261053819,S21,91
number one,5.27412817657183,6.83304494809972,S21,92
number four,5.45337247509446,7.47513616852363,S21,93
number two,3.33926900880834,4.84179339205562,S21,94
number three,3.61198379432094,5.07930788058195,S21,95
number one,4.09138863256146,5.56842388039553,S21,96
number one,4.53163574827521,5.83985214326695,S21,97
number one,3.30647896749061,4.77500208758202,S21,98
number two,4.36505375483527,5.80906306940447,S21,99
number one,4.92861556510154,6.38640234246309,S22,1
number one,3.03821632749485,4.22066058230521,S22,10
number one,5.34728453309034,6.47678655076488,S22,100
number one,4.67161038873381,5.82183896209086,S22,11
number two,4.95641732355593,6.14985238432723,S22,12
number one,1.77975527560422,2.70243181609993,S22,13
number two,2.41690917652201,3.38862123483932,S22,14
number two,1.4832179233139,2.45638097166577,S22,15
number one,1.82214922916958,2.69262609461455,S22,16
number three,2.82728439166831,3.76230514695838,S22,17
number one,2.07359383271381,3.06343208126624,S22,18
number two,1.99907542133319,2.94739981133015,S22,19
number one,4.58341196076824,5.76379061825533,S22,2
number two,2.17153062028024,3.25161566634686,S22,20
number one,1.85781128837077,2.71780887776797,S22,21
number one,4.23378706663388,5.32872026883042,S22,22
number four,2.10345344884942,3.1948706422328,S22,23
number four,2.06502621610893,2.95537348754763,S22,24
number two,1.34640801220086,2.19435374471074,S22,25
number one,1.23648232626384,2.12521372243677,S22,26
number three,3.39285045423792,4.59229158008585,S22,27
number two,5.05243934682307,6.50029829763231,S22,28
number one,3.14084583230883,4.53142423234354,S22,29
number one,2.7328624558257,3.96719406798864,S22,3
number one,5.28362672297835,6.63454241455618,S22,30
number two,2.78706813167034,3.75345873610488,S22,31
number two,2.99537996724794,4.04454469337936,S22,32
number three,2.05108034539117,3.05173313662815,S22,33
number two,1.63890471851391,2.52975792726729,S22,34
number two,2.51698855285086,3.70108493839303,S22,35
number three,5.98289191339186,7.6154678353269,S22,36
number one,2.02030656439283,3.0181702881956,S22,37
number one,4.89628996016077,6.32251249736843,S22,38
number two,2.98000763678966,4.18783505691433,S22,39
number one,2.36844297236967,3.44707924615629,S22,4
number two,2.08399999357173,3.07478666968796,S22,40
number one,4.12869656135547,5.32879375686017,S22,41
number two,2.42226748370031,3.52859531603806,S22,42
number two,2.1835610581582,3.06552830288742,S22,43
number four,3.59187570931987,4.78403990029747,S22,44
number one,2.57011480576166,3.60621888594795,S22,45
number one,2.23554641454976,3.28638168841834,S22,46
number two,4.80411100343752,6.27274520410574,S22,47
number three,4.53125442305436,5.98908979816826,S22,48
number three,3.9127003283241,5.12122730537998,S22,49
number one,2.63495109208342,3.67292618573534,S22,5
number two,2.8048065684105,3.91581521283212,S22,50
number one,5.43316228981552,6.81626647124713,S22,51
number four,3.02312118421666,4.24480793120461,S22,52
number two,4.5208509813564,5.75797195022587,S22,53
number two,1.96657445950268,2.97129046638736,S22,54
number one,1.97008278009999,2.90587492828457,S22,55
number two,5.76638848310408,7.39526798671276,S22,56
number one,3.66224480474921,5.03923781882231,S22,57
number two,4.01101467414275,5.49176388949154,S22,58
number one,2.18442802663234,3.02601381757522,S22,59
number one,2.29822116798527,3.22361060086685,S22,6
number one,2.84732734539599,4.0243890134367,S22,60
number one,7.69891990852566,8.83537834732286,S22,61
number one,4.27890784265513,5.42163076314863,S22,62
number one,5.1581476092445,6.36947088554297,S22,63
number one,4.67913454859855,5.88036771656454,S22,64
number four,4.35270871079356,5.83749153958772,S22,65
number two,5.30878565723478,6.55370820456697,S22,66
number one,3.40460503558853,4.5016810708219,S22,67
number two,3.1675830428557,4.55218931910114,S22,68
number two,2.59449308398058,3.69905365519702,S22,69
number two,3.26594390366588,4.52754155477452,S22,7
number two,3.48197436082867,4.51295292092741,S22,70
number one,4.47040193748182,5.74776955922931,S22,71
number one,4.54911612195079,5.98181430965961,S22,72
number one,5.00657232531567,6.32891253850938,S22,73
number two,5.83804037277562,7.29970455652141,S22,74
number three,3.83960959162782,5.1018997607075,S22,75
number one,2.75601254799108,3.67328297423387,S22,76
number two,6.59063961006089,8.10130884160893,S22,77
number two,3.1653794433436,4.13798554602564,S22,78
number two,2.65594005634382,3.77769767505396,S22,79
number three,3.36334952294171,4.51113818057344,S22,8
number one,5.3392934619631,6.60756906135948,S22,80
number three,7.58957310152977,9.14056651094173,S22,81
number two,7.35786800503334,8.60103168014194,S22,82
number four,5.19023941142722,6.58684335420915,S22,83
number two,4.13067651478262,5.36566689647747,S22,84
number two,6.15305516905557,7.73564251724786,S22,85
number one,8.39198231581789,9.82360498898355,S22,86
number three,5.90396921499523,6.85096931624055,S22,87
number three,3.57914448671035,4.79929191917731,S22,88
number one,4.36395898118283,5.35145807720679,S22,89
number four,5.76439881012646,7.25410968242719,S22,9
number one,2.32329411121879,3.31032661096567,S22,90
number two,2.9393649507996,4.16617856781267,S22,91
number one,3.89238731637233,5.00618223192892,S22,92
number four,4.46852930409111,5.72882696532428,S22,93
number one,2.93517140189409,3.90615449392608,S22,94
number two,6.74685413442485,8.16177383724574,S22,95
number three,5.45429709233091,6.74128899752672,S22,96
number one,3.60713576354236,4.70437581618993,S22,97
number one,3.41409683873549,4.56443070722265,S22,98
number two,2.09426855079381,3.07196131464634,S22,99
number three,4.60816887718943,6.35310164547747,S23,1
number one,3.57837729790711,4.50066081372308,S23,10
number two,4.54713090376713,6.22357719312625,S23,100
number three,4.49650622015874,5.78305881710114,S23,11
number one,1.80866132798501,2.84227477336316,S23,12
number one,1.30316613713759,2.25566993383699,S23,13
number four,3.77515655900914,4.88956772106433,S23,14
number one,2.53048182164432,3.66417925242386,S23,15
number one,1.71538396563445,2.56890812228506,S23,16
number two,2.99467289566429,4.10159007217345,S23,17
number one,3.3958420187352,4.51026793367949,S23,18
number two,2.55529440691939,3.50119228414257,S23,2
number three,5.91817879280226,7.61160392189004,S23,23
number one,1.26807536508579,2.26014920667062,S23,24
number two,2.32170697676661,3.48850140538143,S23,25
number three,1.82140349151709,2.96112482583395,S23,26
number one,1.74639545778151,2.87340770846491,S23,27
number two,1.4773655582715,2.57932508907177,S23,28
number two,3.61415611385116,4.84093955011724,S23,29
number one,2.95808686205406,3.87043069115196,S23,3
number two,2.0865542104392,3.5972639401142,S23,30
number one,4.87982900148011,6.21975523703457,S23,32
number one,2.75760898415591,4.02529350374688,S23,34
number one,5.33390786033289,6.67277593768431,S23,36
number three,3.89040491377274,5.43986479411041,S23,37
number two,2.31300920689561,3.58662265227376,S23,38
number three,4.03462896483895,5.49153847563122,S23,4
number one,1.95913933766278,3.02002055762064,S23,40
number one,3.06720168549348,4.33328807185525,S23,41
number two,2.17782078935992,3.30353305016786,S23,42
number three,5.69782615696881,6.97388655703245,S23,43
number one,2.07792867508449,3.24707594845167,S23,44
number two,1.80049731057081,2.9582962373704502,S23,46
number one,2.86893020340666,4.06837373985739,S23,47
number two,5.60816710298577,7.23672426078865,S23,49
number two,4.40578960580216,5.67691241637217,S23,5
number four,4.846390193025,6.37062224729249,S23,50
number four,3.52117508208102,4.91109471258383,S23,55
number two,1.14077308995887,2.27439550277942,S23,58
number one,2.74470825438609,3.96280397460189,S23,59
number one,5.24944753805137,6.26245804345835,S23,6
number two,5.24934777123701,6.64458924131902,S23,61
number one,2.8786251271593,4.23549134352536,S23,63
number two,4.49333508825217,6.34725371594421,S23,64
number two,1.88973655325584,3.04235374471074,S23,65
number one,2.76457684760651,3.9933822010732,S23,67
number one,4.16425391682778,5.44742896998157,S23,68
number four,4.25398480677412,5.59431081669616,S23,69
number one,4.68259349362235,5.74102824101528,S23,7
number two,5.46538567234122,6.85512180775925,S23,70
number two,3.24885616897361,4.65933843416885,S23,73
number two,4.9379622306754,6.05655675282161,S23,75
number two,3.16428117271005,4.20871108925498,S23,76
number two,4.36168957542856,5.63021240624764,S23,8
number two,4.65868654931852,6.01313714883544,S23,81
number three,3.40194349868461,4.54714953290553,S23,82
number four,2.13769160033491,3.43403056965758,S23,87
number two,2.97417352804576,4.11851695216239,S23,88
number three,6.749502474082,8.12530484322243,S23,89
number one,3.38713535856109,4.3445414535292,S23,9
number three,7.37684639156868,9.41764343327693,S23,90
number one,6.38068400693611,7.68757476323863,S23,91
number one,1.81644036891865,2.80301225068341,S23,92
number four,2.70870725157533,3.88794000491763,S23,93
number two,3.12997376299918,4.3089520531104,S23,94
number one,1.91321574734311,3.0500143704068,S23,95
number one,3.86898354522532,4.98199453275286,S23,96
number two,3.86930484322243,5.06078201240336,S23,97
number two,2.03857612442567,3.3832214524364,S23,98
number two,3.23465667070041,4.56924814584468,S23,99
number one,2.5819439486638,3.82001720206155,S24,1
number one,3.49775748371638,4.38665183663827,S24,10
number one,3.6123215486998,4.79941884544983,S24,100
number one,2.94077586697329,3.75990467512306,S24,11
number two,1.27745023149822,1.92339333162984,S24,12
number four,3.69427568617809,4.72717703949049,S24,13
number two,2.81584629996577,3.52336516293264,S24,14
number two,3.78521858864028,4.80971513424647,S24,15
number one,3.23815963011711,4.26083077086256,S24,16
number one,2.49775194254409,3.53969990245094,S24,17
number one,2.87343605715378,3.75566750394937,S24,18
number four,5.35723235157517,7.47929573114386,S24,19
number three,2.65067035006774,3.84434685681502,S24,2
number two,1.16384317582455,1.88970460473346,S24,20
number two,1.12461240881895,1.79192820260634,S24,21
number two,3.09521659266116,3.83366136816172,S24,22
number two,1.44975234752536,2.23065748066295,S24,23
number three,4.80589125610083,6.13689257228996,S24,24
number three,3.33572011937305,4.31717101298351,S24,25
number three,7.32494481487374,8.8522749758538,S24,27
number four,3.87385642771165,5.11315985992791,S24,28
number three,6.86741560559967,8.74300940938624,S24,29
number two,2.40630866322433,3.63602001764561,S24,3
number two,1.56079590390373,2.31047023146608,S24,30
number one,5.38428007347517,6.65459060732727,S24,31
number four,5.64771385180578,6.93104877613696,S24,32
number three,3.20139636898936,4.24571346932347,S24,33
number four,5.63202915222314,7.05739515404555,S24,34
number two,2.1658701263638,2.78840569480804,S24,35
number three,5.8353409797654,7.23168361320432,S24,36
number two,2.87141196076824,3.81385602273038,S24,37
number two,1.55073483208544,2.31080367890128,S24,38
number two,0.98758407780783,1.86389267353528,S24,39
number two,2.17102034388052,3.29004433902075,S24,4
number four,3.62102473760589,4.59003798145764,S24,40
number one,3.30741277073078,4.04631122167743,S24,41
number one,1.18331085687287,1.83344117405999,S24,42
number two,4.06224723463683,4.98186857714973,S24,43
number two,3.41505625864804,4.51987505363591,S24,44
number one,3.65509660249642,4.57989206284924,S24,45
number four,2.89772554805055,4.04832554708631,S24,46
number two,6.25998833268247,7.69142789645979,S24,47
number one,1.31873645201052,2.18160169449306,S24,48
number two,2.35622648095383,3.10429245433113,S24,49
number three,4.43492881811359,5.47394876344112,S24,5
number two,1.75148484454023,2.43678306021204,S24,50
number two,1.68677998428287,2.60964995154688,S24,51
number one,1.14996840181856,1.87987501506627,S24,52
number two,1.14494817686111,1.8792525010004,S24,53
number two,1.56497529132135,2.40257008827627,S24,54
number two,1.08807731285285,1.92070106114735,S24,55
number four,3.19493367788883,4.27258883633775,S24,56
number one,3.82723184695565,4.88956772106433,S24,57
number two,2.61602024263521,3.72542188280935,S24,58
number two,2.29271276703452,3.2577576765646,S24,59
number two,4.07948566735931,5.32311429953508,S24,6
number two,3.52351806586088,4.45850844755573,S24,60
number four,3.35054975564523,4.56719448582646,S24,61
number three,2.54243514594593,3.66926515505801,S24,62
number four,5.69376206707583,7.16918982854186,S24,63
number three,5.48007280020442,6.89630387094597,S24,64
number three,2.56060179573838,3.55911551447888,S24,66
number two,1.23160660890862,2.0356116808169,S24,67
number two,1.94446445566178,2.75946650467416,S24,68
number three,2.42942755254712,3.55950753634787,S24,69
number two,2.65789633443739,3.64954041375586,S24,7
number two,3.2228700958295,4.13091909856312,S24,70
number one,1.31460037830393,1.99797589718618,S24,71
number four,4.40942795752839,6.00837905604009,S24,72
number one,1.35077857006256,2.23962538589733,S24,73
number two,5.25169159712078,6.77487976395377,S24,74
number two,2.84032512282021,3.83346917562205,S24,75
number two,3.32844425802449,4.30401983765394,S24,76
number one,2.26510222402214,3.2767184367723,S24,77
number two,3.64714203753791,4.46816345815435,S24,78
number two,4.16437863820227,5.3394855966483,S24,79
number four,3.14475973843353,4.2832046103582,S24,8
number one,1.6997764439109,2.49843190609577,S24,80
number three,4.00195148902935,5.00389607409229,S24,81
number two,1.59572987106489,2.47392162969606,S24,82
number one,1.5577264287241,2.43554762949356,S24,83
number two,1.83178373357375,2.74615044411339,S24,84
number two,2.02223670512382,2.93672491004434,S24,85
number one,1.89650524306108,2.61692198807234,S24,86
number two,4.38295068710215,5.82540487359602,S24,87
number one,2.77148607234058,3.67503978298147,S24,88
number two,3.23553548005548,4.58842400896101,S24,89
number one,2.13597407477047,2.9212773044961,S24,9
number three,3.83828287298855,4.79041003710721,S24,90
number three,2.16487796082288,3.1530313908696,S24,91
number two,4.72491217209776,6.07681756075924,S24,92
number two,3.02716635569891,4.10429715982779,S24,93
number four,2.61868658788817,3.64554832053303,S24,94
number one,1.22124693090087,1.97285976880712,S24,95
number one,2.78700324467136,3.70057503483321,S24,96
number two,1.83136844135244,2.61038057632692,S24,97
number one,1.934674084895,2.74800606829077,S24,98
number two,2.27522364447787,3.1519270969432,S24,99
number two,2.44415111586803,3.28728624943953,S25,10
number one,1.49091162248032,2.2640363904598,S25,13
number four,2.27101224425513,3.23024075493651,S25,14
number two,1.31249326075812,2.2150993152281,S25,15
number four,2.35926171271722,3.16950773883851,S25,16
number two,1.74137409501953,2.83190765784225,S25,17
number three,1.9535288042928,2.82944852157731,S25,18
number one,2.46742546657217,3.3562025677741,S25,19
number two,1.75314351282682,2.52348779511805,S25,2
number two,1.91103654955958,3.21891179604372,S25,20
number two,2.00281704328318,2.82407046031264,S25,21
number one,1.49091162248032,2.2640363904598,S25,23
number two,3.06280036834011,4.03682139843889,S25,24
number two,1.58814232198904,2.42475532863748,S25,25
number four,2.08500092085027,2.94459179334384,S25,26
number two,2.69662771453963,3.64032924334392,S25,27
number two,2.42749415910943,3.19978283361537,S25,28
number two,2.47244628293084,3.44321068507724,S25,29
number three,2.17650532020037,3.16430863429709,S25,3
number four,3.60931618269798,5.73566223919287,S25,30
number two,1.50054307345428,2.19490775908757,S25,31
number two,1.87752321169432,2.84644870960432,S25,32
number three,2.12980094527771,3.39093691773898,S25,33
number two,1.41169971603099,2.10282532290024,S25,34
number three,2.79086118624157,3.80580094527771,S25,36
number three,3.09169180282555,4.1934878947563,S25,37
number two,2.74477152788826,3.74367711421918,S25,38
number one,1.42745205391394,2.15379406059613,S25,39
number two,2.36985113081377,3.39700367857987,S25,4
number one,2.24226788868158,3.66185683269292,S25,40
number two,1.54232806375562,2.2370811457113,S25,41
number four,3.77162133608463,4.9500196351633,S25,42
number one,2.83660706049488,3.87040274744436,S25,43
number two,1.28319651073281,2.00918618371043,S25,44
number two,1.34852484929715,2.18767438863095,S25,47
number two,2.44807046031264,3.6623581995047,S25,49
number one,1.54572075898633,2.62816887076116,S25,5
number two,1.52241206844183,2.39148866293505,S25,50
number one,1.639076636277,2.32900070228895,S25,51
number three,2.18494562483628,3.17606641049994,S25,52
number two,1.79927669702419,2.64711308459127,S25,53
number two,2.8780836222039,4.06610427624865,S25,55
number one,1.85861090781694,2.7422395399927,S25,57
number two,1.11398359183031,1.85811237587404,S25,6
number one,1.29696549463159,2.09686058519793,S25,63
number two,1.39861090781694,2.23313151123903,S25,64
number one,1.85120785020836,3.08308797575255,S25,65
number two,1.6143205426749,2.37347683169653,S25,66
number one,2.46469656135547,3.59107096653923,S25,67
number four,2.50893347539819,3.63664431877169,S25,68
number two,1.34630698544478,2.2589700747769,S25,69
number two,1.75341823797792,2.67483162260888,S25,7
number three,3.42074373845924,5.96341208290545,S25,70
number four,4.35316836453457,5.72227639328824,S25,71
number one,1.45574283046552,2.45960837668401,S25,72
number three,1.7473791572854,2.56017656540528,S25,74
number four,2.15609192431993,3.12820491409415,S25,78
