response,onset,offset,subject,trial
number one,4.24580709820329,5.12395837378214,S10,49
number two,2.329709165216,3.03752774874413,S10,5
number three,6.79533266744076,7.73325253213074,S10,52
number one,3.93472022688347,4.70188279843285,S10,55
number one,5.96315553432184,7.30095341497738,S10,56
number four,4.05438641091022,4.92038691246523,S10,57
number three,4.32865907744388,5.70385699946855,S10,58
number two,2.66387028152368,3.43380264481791,S10,59
number one,7.36503310568106,8.31323257813306,S10,6
number two,2.40835589822379,3.35148596754455,S10,60
number two,1.94825388689874,2.95878361318516,S10,61
number two,4.49570912494516,5.48933893708169,S10,62
number two,1.02466075580231,1.68188690036364,S10,63
number one,4.8082027006276,5.97508096004868,S10,64
number two,4.70138358808707,5.76999448208141,S10,67
number one,1.32139660655125,2.05672046647463,S10,69
number one,1.66586199101879,2.37674701594095,S10,7
number two,3.15404202201106,3.87861279892709,S10,70
number one,3.82796100806454,4.59183001068398,S10,71
number one,4.29059153592372,5.17303253456733,S10,72
number four,6.69763268153556,7.73325253213074,S10,73
number two,2.15089091097317,2.98569992651589,S10,74
number three,3.36939670905884,4.28170838339223,S10,75
number two,3.10331570243429,4.17466662436195,S10,76
number one,3.01959242167881,5.29933717777481,S10,77
number one,5.4465698116362,6.2850846962877,S10,78
number two,6.07208061408556,6.95746251893289,S10,79
number two,3.66549742276795,4.66697763239598,S10,8
number two,4.04014591142164,4.97868850973283,S10,80
number two,4.64779267025972,5.67374631120125,S10,82
number one,3.28219765782356,4.17329015078989,S10,83
number three,2.65567800656903,4.00657416088689,S10,89
number three,2.86325788815242,3.60950034423432,S10,9
number two,2.38194256198608,3.20013150910497,S10,90
number one,3.85778100839403,5.35702329424011,S10,91
number two,1.73018926684496,2.48419557472285,S10,92
number two,5.34115586747151,6.24787677773893,S10,93
number one,4.23762401964403,5.01081008373691,S10,94
number one,6.21312747124143,7.16274835789549,S10,95
number two,3.49877656375433,4.28497776053047,S10,96
number two,3.84214573203336,4.60437168439295,S10,98
number four,5.92574781057817,6.88910661826844,S10,99
number four,4.12115249433106,5.10972392290249,S11,1
number two,1.6515418792517,2.49414214852608,S11,10
number one,2.55689593962585,3.45892789824263,S11,100
number three,4.15415361040249,5.64234557468821,S11,11
number one,1.01702972647392,1.90421164611678,S11,12
number one,2.10924307327097,2.96532052508503,S11,13
number four,2.84482617630385,3.92600159438776,S11,14
number two,3.68686621315193,4.83407709750567,S11,15
number three,1.86306829294218,2.76823534934807,S11,16
number one,1.51654216269841,2.28291103316327,S11,17
number three,2.13658106575964,3.87338910147392,S11,18
number four,3.14488688704649,4.14442451459751,S11,19
number one,2.40018774801587,3.37669107851474,S11,2
number one,3.21280447491497,4.10257993197279,S11,20
number two,3.65740465561225,4.66323196570295,S11,21
number two,2.61673256802721,3.53189519557823,S11,22
number one,2.33929506802721,3.22560406037415,S11,23
number one,3.85028815901361,5.03218087443311,S11,24
number two,2.58658999433106,3.42420160147392,S11,25
number four,2.41013107638889,3.23911616000567,S11,26
number two,3.04058987032313,4.15041732213719,S11,27
number two,2.77018597647392,3.53612347647392,S11,28
number three,2.24237124433107,3.02494936933107,S11,29
number two,1.60063070436508,2.50741819019274,S11,3
number four,2.25092593183107,3.18497727111678,S11,30
number one,2.36345815617914,3.31658953373016,S11,31
number one,1.90505874433107,2.84205651218821,S11,32
number one,2.10483910856009,2.88615376984127,S11,33
number one,2.5458694550737,3.45574225836168,S11,34
number two,1.49491037769274,2.3812685303288,S11,35
number two,2.80457102111678,3.65931432468821,S11,36
number two,3.30110204081633,4.17397760770975,S11,37
number three,3.48192704790249,4.34560450325964,S11,38
number one,0.680809151785714,1.53271045918367,S11,39
number one,2.60475786564626,3.44435785147392,S11,4
number one,1.18043803146259,2.00896322278912,S11,40
number one,1.56574085884354,2.40368640164399,S11,41
number two,2.06970843962585,2.87951888463719,S11,42
number two,2.64215375212585,3.60815874787415,S11,43
number one,1.29159222647392,2.10988463718821,S11,44
number two,2.69515249433107,3.56792035147392,S11,45
number two,1.17609566326531,1.97652136479592,S11,46
number one,1.47247950325964,2.44620718183107,S11,47
number one,2.42728939909297,3.32540093537415,S11,48
number two,1.69418941326531,2.60607300524376,S11,49
number two,3.14569827097506,4.0207534545068,S11,5
number two,1.14790695861678,1.94354311933107,S11,50
number four,2.11823285147392,2.84600070861678,S11,51
number one,1.66574512825964,2.48042146754535,S11,52
number two,3.30837124433107,4.21372838718821,S11,53
number two,1.88700405683107,2.76225517290249,S11,54
number one,1.7593040497449,2.567858825822,S11,55
number two,1.7557435515873001,2.6624091553288,S11,56
number one,1.21757660147392,1.97450740504535,S11,57
number two,1.32165671060091,2.1874985473356,S11,58
number two,2.42988017290249,3.2162864229025,S11,59
number two,4.8624502196712,5.74332066680839,S11,6
number two,2.21582327097506,3.06435094246032,S11,60
number two,1.43166142290249,2.32334669075964,S11,61
number two,1.48400205498866,2.31376714852608,S11,62
number one,1.55620048540249,2.56239468183107,S11,63
number one,2.20395160147392,3.39758999433107,S11,64
number three,2.23270124716553,3.07988095238095,S11,65
number one,1.74683301445578,2.7275356079932,S11,66
number three,2.05572371031746,3.16041067885488,S11,67
number two,1.66613128897392,2.64240919075964,S11,68
number one,1.51729646754535,2.36813910147392,S11,69
number three,2.33537794075964,3.18863686933107,S11,7
number two,2.00863798540249,3.06402861040249,S11,70
number two,1.63700467687075,2.69087416737528,S11,71
number three,2.4198801729025,3.38851856575964,S11,72
number two,2.18041971371882,3.23710232426304,S11,73
number two,1.86787414965986,2.92483808106576,S11,74
number one,1.69808577806122,2.80202993905896,S11,75
number three,2.48125740504535,3.40275294075964,S11,76
number one,1.82148731575964,2.84253642290249,S11,77
number four,2.88736008361678,4.36193597647392,S11,78
number one,2.41906767290249,3.30693597647392,S11,79
number two,2.55084222647392,3.47645606575964,S11,8
number one,3.15153865504535,3.97697392290249,S11,80
number two,1.29762570861678,2.31863017290249,S11,81
number one,1.34577749433107,2.29059892290249,S11,82
number one,2.07055190617914,2.9674106079932,S11,83
number one,2.24852414611678,3.48167704790249,S11,84
number one,1.19565695861678,2.11261008361678,S11,85
number one,1.14178642290249,2.18531320861678,S11,86
number three,2.53239021754535,3.51391923540249,S11,87
number one,1.81822245252268,4.08300650155896,S11,88
number one,2.54046901573129,3.55731637967687,S11,89
number one,2.72710896754535,3.58790137825964,S11,9
number one,1.51052473072562,2.50359534438775,S11,90
number four,3.07026374716553,3.9053466553288,S11,91
number two,2.93702341978458,3.87850974348073,S11,92
number two,1.30661231575964,2.22830874433107,S11,93
number one,1.83700910572562,2.7601064696712,S11,94
number three,2.52399178004535,3.40846722647392,S11,95
number two,1.67382436933107,2.47086199688209,S11,96
number two,2.72784401573129,3.63771681901927,S11,97
number one,1.51406600765306,2.37990784438776,S11,98
number four,3.76395606575964,4.57100963718821,S11,99
number one,2.77584580498866,3.9792925170068,S12,1
number one,2.01764856150794,3.06349039824263,S12,10
number two,2.61756990504535,3.67070048540249,S12,100
number one,1.24920829790249,2.33110003897392,S12,11
number two,3.48755651218821,4.54380651218821,S12,12
number one,2.46073954790249,3.46495271754535,S12,13
number two,2.15309222647392,3.16654088718821,S12,14
number one,2.39628530683107,3.40691588718821,S12,15
number one,3.86086901218821,5.12723619968821,S12,16
number two,1.15009557468821,2.16798061933107,S12,17
number one,0.98970489654195,1.94130061295351,S12,18
number three,2.41227239229025,3.41736699263039,S12,19
number one,1.66754758361678,2.82308329790249,S12,2
number three,2.58226436720522,3.583124450822,S12,20
number one,5.83199461451247,6.7880518707483,S12,21
number one,1.33163017290249,2.22392928004535,S12,22
number three,2.99115584254535,3.91266811933107,S12,23
number two,4.50954535147392,6.82816142290249,S12,24
number two,2.43628865504535,3.44252749433107,S12,25
number two,2.23973338293651,3.14686959679705,S12,26
number one,1.49672838718821,2.45228642290249,S12,27
number one,1.53967481575964,2.46302303004535,S12,28
number two,3.03573731575964,4.27424178004535,S12,29
number four,2.42344713718821,4.00862570861678,S12,3
number one,2.24676962868481,3.1965709502551,S12,30
number two,1.99417928004535,3.34857660147392,S12,31
number one,1.88305428004535,2.91483999433107,S12,32
number one,3.94852584679705,5.13908822278912,S12,33
number two,1.95830204790249,2.82768820861678,S12,34
number three,1.33939356575964,2.36720606575964,S12,35
number one,1.49495656179138,2.43858822278911,S12,36
number one,5.94198731575964,6.99985561933107,S12,37
number two,2.04800963718821,3.01836678004535,S12,38
number one,1.06323490646259,1.96151031037415,S12,39
number one,1.85090249433107,2.88322392290249,S12,4
number two,1.38163548752834,2.36085530045351,S12,40
number two,1.30460561933107,2.46187682468821,S12,41
number two,0.960032879818594,1.97948866213152,S12,42
number two,1.04533776218821,2.12321722647392,S12,43
number three,1.95112414965986,3.02224004393424,S12,44
number three,2.39178195861678,3.34177079790249,S12,45
number one,1.99424178004535,3.03888463718821,S12,46
number two,1.16389356575964,2.22681767290249,S12,47
number two,4.78691142290249,5.73320606575964,S12,48
number one,1.77886585884354,2.77651812287415,S12,49
number three,4.77723508361678,5.84504758361678,S12,5
number three,1.43705002834467,2.28406498015873,S12,50
number three,4.11774289611678,5.12128642290249,S12,51
number one,1.58406767290249,2.56793246882086,S12,52
number two,3.23521945861678,4.42059892290249,S12,53
number two,1.85649178004535,2.94814356575964,S12,54
number two,1.35773345379819,2.1273706420068,S12,55
number two,3.01908999433107,4.26299624433107,S12,56
number two,2.2534851899093,3.37692499291383,S12,57
number two,1.96661240433673,2.99841096230159,S12,58
number one,1.59415249433107,2.45174178004535,S12,59
number two,1.41567704790249,3.21648061933107,S12,6
number four,2.54711890589569,3.57497339143991,S12,60
number two,3.06890695861678,4.09820383361678,S12,61
number two,1.76704869968821,2.77472169075964,S12,62
number three,3.95906776147959,4.79143835034014,S12,63
number four,4.46241142290249,5.88682548540249,S12,64
number three,4.36816923540249,5.57578642290249,S12,65
number two,4.91978084254535,6.00324624433107,S12,66
number two,2.02938463718821,3.06207436933107,S12,67
number two,1.6600580534297,2.56302405753968,S12,7
number three,2.30513398171769,3.10192022746599,S12,70
number two,1.11626227678571,2.18405599844104,S12,71
number one,1.20675182468821,2.10469267290249,S12,72
number two,3.3705683106576,4.24614140447846,S12,73
number two,1.43211224489796,4.74985884353742,S12,74
number one,1.04160338718821,2.01124624433107,S12,75
number two,1.22725060232426,2.40471800595238,S12,76
number one,3.69965807468821,4.48163352111678,S12,77
number one,2.86949066397392,3.84865361040249,S12,78
number one,2.34315249433107,3.18456432468821,S12,79
number one,2.99517609126984,3.9554722930839,S12,8
number two,2.52009375,3.34689921697846,S12,80
number one,2.46177710459184,3.22549946853741,S12,81
number one,3.50682660147392,4.47559892290249,S12,82
number two,2.09438017290249,2.99912347647392,S12,83
number two,1.87051186933107,2.94913910147392,S12,84
number one,1.97227093962585,2.96534155328798,S12,85
number two,1.05305133928571,2.00766744614512,S12,86
number one,4.12017616213152,5.12589478812358,S12,87
number two,1.85062347647392,2.80925628897392,S12,88
number one,4.39074397675737,6.87945535714286,S12,89
number two,2.86494820011338,3.99668183106576,S12,9
number three,3.32233776218821,4.19228753897392,S12,90
number four,3.83897317885488,4.83079343820862,S12,91
number one,5.90158106575964,8.4818489229025,S12,92
number two,3.90393374433107,5.09656767290249,S12,93
number one,2.64671598639456,3.56415433673469,S12,94
number three,3.5471655151644,4.65741982001134,S12,95
number one,3.53947815688776,4.48738082837302,S12,96
number three,2.41527653769841,3.33675028344671,S12,97
number one,1.34232879818594,2.31930725623583,S12,98
number one,1.71925931831066,2.71865522250567,S12,99
number one,2.53961238662131,3.30961840986395,S13,1
number two,2.64130676020408,3.29464824263039,S13,10
number three,2.21561297123016,2.8464424957483,S13,100
number three,4.00427655541383,4.71410870181406,S13,11
number three,2.08693190192744,2.72644401927438,S13,12
number one,2.91554189696712,3.73993461238662,S13,13
number one,4.07820631377551,4.72446171697846,S13,14
number two,1.54940575396825,2.18656561791383,S13,15
number two,1.09083999433107,1.67721276218821,S13,16
