Eprime.Level	Eprime.LevelName	Eprime.Basename	Eprime.FrameNumber	Procedure	Running	Face1	Face2	Face3	Face4	Ethnicity1	Gender1	EG1	Ethnicity2	Gender2	EG2	Ethnicity3	Gender3	EG3	Ethnicity4	Gender4	EG4	CorrectAnswer	XCoorFace1	XCoorFace2	XCoorFace3	XCoorFace4	Cycle	Sample	TwoAFCVoiceSoundIn1.Filename	TwoAFCVoice.OnsetDelay	TwoAFCVoice.OnsetTime	TwoAFCVoice.DurationError	TwoAFCVoice.RTTime	TwoAFCVoice.ACC	TwoAFCVoice.RT	TwoAFCVoice.RESP	TwoAFCVoice.CRESP	TwoAFCVoice.OnsetToOnsetTime	TwoAFCVoice.DEVICE	Confidence.DEVICE	Confidence.OnsetDelay	Confidence.OnsetTime	Confidence.DurationError	Confidence.RTTime	Confidence.ACC	Confidence.RT	Confidence.RESP	Confidence.CRESP	Confidence.OnsetToOnsetTime	Justinification.OnsetDelay	Justinification.OnsetTime	Justinification.DurationError	Justinification.RTTime	Justinification.ACC	Justinification.RT	Justinification.RESP	Justinification.CRESP	Justinification.OnsetToOnsetTime	FourAFCVoiceSoundIn1.Filename	FourAFCVoice.OnsetDelay	FourAFCVoice.OnsetTime	FourAFCVoice.DurationError	FourAFCVoice.RTTime	FourAFCVoice.ACC	FourAFCVoice.RT	FourAFCVoice.RESP	FourAFCVoice.CRESP	FourAFCVoice.OnsetToOnsetTime	FourAFCVoice.DEVICE	Justinification.DEVICE	Subject
2	TestList_26	Acoustic Content Analysis CSUN-25-1	159	twoafcproc	TestList	./stimuli/BF-242.jpg	./stimuli/BF-223.jpg	?	?	B	F	BF	B	F	BF	?	?	?	?	?	?	2	60%	40%	?	?	1	58	Acoustic Content Analysis CSUN-25-1TwoAFCVoice-58.wav	16	1897590	7	1900254	1	2664	2	2	0	Keyboard	Keyboard	36	1900290	-999999	1900582	0	292	3		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S25
2	TestList_75	Acoustic Content Analysis CSUN-25-1	160	fourafcproc	TestList	./stimuli/WM-232.jpg	./stimuli/BM-013.jpg	./stimuli/BF-207.jpg	./stimuli/AM-217.jpg	W	M	WM	B	M	BM	B	F	BF	A	M	AM	3	60%	20%	40%	80%	1	59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	42	1904040	-999999	1904334	0	294	3		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-25-1FourAFCVoice-59.wav	17	1901140	7	1903998	1	2858	3	3	0	Keyboard	NA	S25
2	TestList_21	Acoustic Content Analysis CSUN-25-1	161	twoafcproc	TestList	./stimuli/LM-211.jpg	./stimuli/AM-235.jpg	?	?	L	M	LM	A	M	AM	?	?	?	?	?	?	2	60%	40%	?	?	1	60	Acoustic Content Analysis CSUN-25-1TwoAFCVoice-60.wav	17	1904890	6	1906990	0	2100	1	2	0	Keyboard	Keyboard	33	1907023	-999999	1907558	0	535	3		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S25
2	TestList_62	Acoustic Content Analysis CSUN-25-1	162	fourafcproc	TestList	./stimuli/LM-200.jpg	./stimuli/BF-010.jpg	./stimuli/LM-210.jpg	./stimuli/BF-243.jpg	L	M	LM	B	F	BF	L	M	LM	B	F	BF	4	80%	20%	40%	60%	1	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	32	1911206	-999999	1911542	0	336	3		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-25-1FourAFCVoice-61.wav	17	1908106	7	1911174	0	3068	2	4	0	Keyboard	NA	S25
2	TestList_29	Acoustic Content Analysis CSUN-25-1	163	twoafcproc	TestList	./stimuli/WF-220.jpg	./stimuli/BF-041.jpg	?	?	W	F	WF	B	F	BF	?	?	?	?	?	?	1	40%	60%	?	?	1	62	Acoustic Content Analysis CSUN-25-1TwoAFCVoice-62.wav	17	1912089	7	1915726	1	3637	1	1	0	Keyboard	Keyboard	29	1915755	-999999	1916094	0	339	2		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S25
2	TestList_74	Acoustic Content Analysis CSUN-25-1	164	fourafcproc	TestList	./stimuli/AM-243.jpg	./stimuli/BM-239.jpg	./stimuli/BF-224.jpg	./stimuli/AF-251.jpg	A	M	AM	B	M	BM	B	F	BF	A	F	AF	1	20%	40%	60%	80%	1	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	46	1918988	-999999	1919270	0	282	3		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-25-1FourAFCVoice-63.wav	17	1916639	6	1918942	1	2303	1	1	0	Keyboard	NA	S25
2	TestList_33	Acoustic Content Analysis CSUN-25-1	165	twoafcproc	TestList	./stimuli/AF-201.jpg	./stimuli/WF-233.jpg	?	?	A	F	AF	W	F	WF	?	?	?	?	?	?	2	60%	40%	?	?	1	64	Acoustic Content Analysis CSUN-25-1TwoAFCVoice-64.wav	17	1919822	6	1922518	1	2696	2	2	0	Keyboard	Keyboard	37	1922555	-999999	1922854	0	299	3		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S25
2	TestList_50	Acoustic Content Analysis CSUN-25-1	166	twoafcproc	TestList	./stimuli/WF-216.jpg	./stimuli/BF-035.jpg	?	?	W	F	WF	B	F	BF	?	?	?	?	?	?	1	40%	60%	?	?	1	65	Acoustic Content Analysis CSUN-25-1TwoAFCVoice-65.wav	17	1923405	6	1927006	1	3601	1	1	0	Keyboard	Keyboard	32	1927038	-999999	1927318	0	280	3		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S25
2	TestList_5	Acoustic Content Analysis CSUN-25-1	167	twoafcproc	TestList	./stimuli/WM-010.jpg	./stimuli/BM-210.jpg	?	?	W	M	WM	B	M	BM	?	?	?	?	?	?	2	60%	40%	?	?	1	66	Acoustic Content Analysis CSUN-25-1TwoAFCVoice-66.wav	17	1927871	9	1930414	1	2543	2	2	0	Keyboard	Keyboard	40	1930454	-999999	1930662	0	208	3		0	0	0	0	0	0	0			0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S25
2	TestList_89	Acoustic Content Analysis CSUN-25-1	168	fourafcproc	TestList	./stimuli/WM-239.jpg	./stimuli/WF-234.jpg	./stimuli/BF-051.jpg	./stimuli/BM-215.jpg	W	M	WM	W	F	WF	B	F	BF	B	M	BM	4	80%	20%	40%	60%	1	67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Keyboard	42	1935120	-999999	1935326	0	206	3		0	0	0	0	0	0	0			0	Acoustic Content Analysis CSUN-25-1FourAFCVoice-67.wav	17	1931221	9	1935078	0	3857	1	4	0	Keyboard	NA	S25
