32	74	19	39	65	251	28	54	12	39	64	283	300	407	66	144	184	179
118	73	10	21	64	194	78	62	11	13	75	241	605	324	38	40	144	129
33	63	71	106	90	115	14	46	54	77	79	206	136	223	292	402	202	20
117	54	18	28	50	213	65	24	18	21	48	304	784	203	72	46	95	76
4	44	86	114	110	122	3	28	55	95	126	173	52	285	391	340	185	27
4	17	123	187	32	117	0	13	80	150	38	199	30	116	625	456	40	13
32	35	11	19	53	186	12	7	6	13	51	235	358	200	40	49	120	113
95	53	25	38	48	101	51	33	16	34	34	144	469	233	95	66	22	11
27	36	53	58	37	125	27	31	43	45	52	126	175	237	205	128	71	63
18	39	20	66	121	115	6	34	11	39	137	121	172	426	183	95	58	30
26	29	4	12	38	227	10	4	0	5	25	280	424	189	18	26	111	112
55	53	4	16	44	308	21	27	3	16	33	380	625	364	26	50	102	112
90	57	9	9	45	269	54	37	2	10	41	336	121	264	19	24	55	95
68	46	38	59	66	203	28	14	23	25	57	328	566	256	178	176	72	28
102	38	12	13	44	262	52	13	7	12	32	358	1010	125	24	16	56	33
21	74	64	75	99	147	10	31	24	57	89	269	390	432	279	108	61	10
4	32	82	135	46	180	1	11	54	108	57	249	153	260	602	229	26	9
45	42	9	15	36	177	24	21	3	4	34	250	569	190	14	18	37	52
69	26	12	29	52	128	32	18	12	19	34	245	550	208	53	37	33	8
16	21	31	27	62	166	7	12	7	23	47	239	236	308	164	63	49	55
18	24	10	47	139	107	4	12	6	20	166	170	239	472	127	58	32	19
43	9	1	4	22	245	14	5	0	6	14	297	625	109	7	15	66	58

